month,firefox,safari,google_chrome,internet_explorer,opera
2021-08,4,5,24,1,1
2021-09,4,6,25,1,1
2021-10,4,6,25,1,1
2021-11,4,6,24,1,1
2021-12,4,6,22,1,1
2022-01,4,6,25,1,1
2022-02,4,6,26,1,1
2022-03,4,5,25,1,1
2022-04,4,5,24,1,1
2022-05,4,5,23,1,1
2022-06,4,5,24,3,1
2022-07,3,4,18,1,1
